"","compound","CAS","method.Clint","conc.enzymes.Clint","Ka","Fa","method.KaFa","method.phys.chem.Fup","Fup","Fut","method.Fup","reference.Fup","original.reference.Fup","ionization","pKa1","pKa2","logP","logD","method.phys.chem","quat.nitrogen","frac.unionized","frac.ionized.acid","frac.ionized.base","type","Kpad","Kpbo","Kpbr","Kpgu","Kphe","Kpki","Kpli","Kplu","Kpmu","Kpsk","Kpsp","method.partition","scaling.factor","Clint","Fuinc","method.Fuinc"
"1","Bosentan","147536-97-8","hep",1,1,1,"default",NA,0.02,0.0392156862745098,"in vitro","httk","Ito 2004","zwitterionic",5.8,-0.17,4.94,3.98,"ChemAxon","no",0.0245033675341756,0.975496632449664,2.69153471732508e-08,6,5.74704544175409,3.2144926683762,2.65191701915111,2.29536030051606,3.95816191978501,1.79838556001087,1.76080126095601,0.275031759299586,0.6998340069456,2.27421803779753,0.768059512650843,"RodgersRowland",117.5,38,0.456,"in silico"
"2","Bosentan","147536-97-8","hep",1,1,1,"default",NA,0.035,0.0676328502415459,"in vitro","literature","Impact of Plasma Protein Binding in Drug Clearance Prediction: A Database Analysis of Published Studies and Implications for In Vitro-In Vivo Extrapolation","zwitterionic",5.8,-0.17,4.94,3.98,"ChemAxon","no",0.0245033675341756,0.975496632449664,2.69153471732508e-08,6,10.0430575795128,5.59623575423613,4.62687410411179,3.97086078953601,6.88105488741089,3.10931038997015,3.05635348940992,0.419557578079183,1.20606860628458,3.89920139542615,1.31585152417943,"RodgersRowland",117.5,38,0.456,"in silico"
"3","Bosentan","147536-97-8","hep",1,1,1,"default",NA,0.00814,0.0161485507965164,"in vitro","literature","Extrapolation of In Vivo Hepatic Clearance from In Vitro Uptake Clearance by Suspended Human Hepatocytes for Anionic Drugs with  High Binding to Human Albumin: Improvement of In Vitro-to-In Vivo Extrapolation by Considering the “Albumin-Mediated” Hepatic Uptake Mechanism on the Basis of the “Facilitated-Dissociation Model” ","zwitterionic",5.8,-0.17,4.94,3.98,"ChemAxon","no",0.0245033675341756,0.975496632449664,2.69153471732508e-08,6,2.35033184483289,1.33132780182294,1.09038428397554,0.970597913864288,1.64712788004881,0.761880994456404,0.73645129899179,0.16076001191785,0.29957118373491,0.989397863032503,0.334938628868908,"RodgersRowland",117.5,38,0.456,"in silico"
"4","Bosentan","147536-97-8","hep",1.5,1,1,"default",NA,0.02,0.0392156862745098,"in vitro","httk","Ito 2004","zwitterionic",5.8,-0.17,4.94,3.98,"ChemAxon","no",0.0245033675341756,0.975496632449664,2.69153471732508e-08,6,5.74704544175409,3.2144926683762,2.65191701915111,2.29536030051606,3.95816191978501,1.79838556001087,1.76080126095601,0.275031759299586,0.6998340069456,2.27421803779753,0.768059512650843,"RodgersRowland",117.5,1.8,0.358,"in silico"
"5","Bosentan","147536-97-8","hep",1.5,1,1,"default",NA,0.035,0.0676328502415459,"in vitro","literature","Impact of Plasma Protein Binding in Drug Clearance Prediction: A Database Analysis of Published Studies and Implications for In Vitro-In Vivo Extrapolation","zwitterionic",5.8,-0.17,4.94,3.98,"ChemAxon","no",0.0245033675341756,0.975496632449664,2.69153471732508e-08,6,10.0430575795128,5.59623575423613,4.62687410411179,3.97086078953601,6.88105488741089,3.10931038997015,3.05635348940992,0.419557578079183,1.20606860628458,3.89920139542615,1.31585152417943,"RodgersRowland",117.5,1.8,0.358,"in silico"
"6","Bosentan","147536-97-8","hep",1.5,1,1,"default",NA,0.00814,0.0161485507965164,"in vitro","literature","Extrapolation of In Vivo Hepatic Clearance from In Vitro Uptake Clearance by Suspended Human Hepatocytes for Anionic Drugs with  High Binding to Human Albumin: Improvement of In Vitro-to-In Vivo Extrapolation by Considering the “Albumin-Mediated” Hepatic Uptake Mechanism on the Basis of the “Facilitated-Dissociation Model” ","zwitterionic",5.8,-0.17,4.94,3.98,"ChemAxon","no",0.0245033675341756,0.975496632449664,2.69153471732508e-08,6,2.35033184483289,1.33132780182294,1.09038428397554,0.970597913864288,1.64712788004881,0.761880994456404,0.73645129899179,0.16076001191785,0.29957118373491,0.989397863032503,0.334938628868908,"RodgersRowland",117.5,1.8,0.358,"in silico"
"7","Bosentan","147536-97-8","hep",1.6,1,1,"default",NA,0.02,0.0392156862745098,"in vitro","httk","Ito 2004","zwitterionic",5.8,-0.17,4.94,3.98,"ChemAxon","no",0.0245033675341756,0.975496632449664,2.69153471732508e-08,6,5.74704544175409,3.2144926683762,2.65191701915111,2.29536030051606,3.95816191978501,1.79838556001087,1.76080126095601,0.275031759299586,0.6998340069456,2.27421803779753,0.768059512650843,"RodgersRowland",117.5,0.925,0.344,"in silico"
"8","Bosentan","147536-97-8","hep",1.6,1,1,"default",NA,0.035,0.0676328502415459,"in vitro","literature","Impact of Plasma Protein Binding in Drug Clearance Prediction: A Database Analysis of Published Studies and Implications for In Vitro-In Vivo Extrapolation","zwitterionic",5.8,-0.17,4.94,3.98,"ChemAxon","no",0.0245033675341756,0.975496632449664,2.69153471732508e-08,6,10.0430575795128,5.59623575423613,4.62687410411179,3.97086078953601,6.88105488741089,3.10931038997015,3.05635348940992,0.419557578079183,1.20606860628458,3.89920139542615,1.31585152417943,"RodgersRowland",117.5,0.925,0.344,"in silico"
"9","Bosentan","147536-97-8","hep",1.6,1,1,"default",NA,0.00814,0.0161485507965164,"in vitro","literature","Extrapolation of In Vivo Hepatic Clearance from In Vitro Uptake Clearance by Suspended Human Hepatocytes for Anionic Drugs with  High Binding to Human Albumin: Improvement of In Vitro-to-In Vivo Extrapolation by Considering the “Albumin-Mediated” Hepatic Uptake Mechanism on the Basis of the “Facilitated-Dissociation Model” ","zwitterionic",5.8,-0.17,4.94,3.98,"ChemAxon","no",0.0245033675341756,0.975496632449664,2.69153471732508e-08,6,2.35033184483289,1.33132780182294,1.09038428397554,0.970597913864288,1.64712788004881,0.761880994456404,0.73645129899179,0.16076001191785,0.29957118373491,0.989397863032503,0.334938628868908,"RodgersRowland",117.5,0.925,0.344,"in silico"
"10","Bosentan","147536-97-8","hep",2,1,1,"default",NA,0.02,0.0392156862745098,"in vitro","httk","Ito 2004","zwitterionic",5.8,-0.17,4.94,3.98,"ChemAxon","no",0.0245033675341756,0.975496632449664,2.69153471732508e-08,6,5.74704544175409,3.2144926683762,2.65191701915111,2.29536030051606,3.95816191978501,1.79838556001087,1.76080126095601,0.275031759299586,0.6998340069456,2.27421803779753,0.768059512650843,"RodgersRowland",117.5,1.6,0.295,"in silico"
"11","Bosentan","147536-97-8","hep",2,1,1,"default",NA,0.035,0.0676328502415459,"in vitro","literature","Impact of Plasma Protein Binding in Drug Clearance Prediction: A Database Analysis of Published Studies and Implications for In Vitro-In Vivo Extrapolation","zwitterionic",5.8,-0.17,4.94,3.98,"ChemAxon","no",0.0245033675341756,0.975496632449664,2.69153471732508e-08,6,10.0430575795128,5.59623575423613,4.62687410411179,3.97086078953601,6.88105488741089,3.10931038997015,3.05635348940992,0.419557578079183,1.20606860628458,3.89920139542615,1.31585152417943,"RodgersRowland",117.5,1.6,0.295,"in silico"
"12","Bosentan","147536-97-8","hep",2,1,1,"default",NA,0.00814,0.0161485507965164,"in vitro","literature","Extrapolation of In Vivo Hepatic Clearance from In Vitro Uptake Clearance by Suspended Human Hepatocytes for Anionic Drugs with  High Binding to Human Albumin: Improvement of In Vitro-to-In Vivo Extrapolation by Considering the “Albumin-Mediated” Hepatic Uptake Mechanism on the Basis of the “Facilitated-Dissociation Model” ","zwitterionic",5.8,-0.17,4.94,3.98,"ChemAxon","no",0.0245033675341756,0.975496632449664,2.69153471732508e-08,6,2.35033184483289,1.33132780182294,1.09038428397554,0.970597913864288,1.64712788004881,0.761880994456404,0.73645129899179,0.16076001191785,0.29957118373491,0.989397863032503,0.334938628868908,"RodgersRowland",117.5,1.6,0.295,"in silico"
"13","Buspirone","36505-84-7","hep",0.1,1,1,"default",NA,0.05,0.0952380952380953,"in vitro","httk","Shibata 2002","diproticBase",2.06,7.62,1.78,1.35,"ChemAxon","no",0.999987843490136,0,1.21565098637477e-05,5,0.147454046462111,0.271110638249547,0.209930069440355,0.353794518378011,0.396430764216662,0.299750730781465,0.237065994343423,0.37947939580841,0.179874250144136,0.516107203757013,0.229761612601803,"RodgersRowland",117.5,19.25,0.992,"in silico"
"14","Buspirone","36505-84-7","hep",0.1,1,1,"default",NA,0.333,0.499624906226557,"in vitro","literature","Control and Measurement of Plasma pH in Equilibrium Dialysis: Influence on Drug Plasma Protein Binding ","diproticBase",2.06,7.62,1.78,1.35,"ChemAxon","no",0.999987843490136,0,1.21565098637477e-05,5,0.547331505343696,0.918428597488995,0.972293500911328,0.954545652257826,1.24737473207577,0.84302113777567,0.815894824529622,0.646536079187673,0.63017482387803,0.979817915510921,0.669659134272604,"RodgersRowland",117.5,19.25,0.992,"in silico"
"15","Buspirone","36505-84-7","hep",0.1,1,1,"default",NA,0.214,0.352553542009885,"in vitro","literature","Control and Measurement of Plasma pH in Equilibrium Dialysis: Influence on Drug Plasma Protein Binding ","diproticBase",2.06,7.62,1.78,1.35,"ChemAxon","no",0.999987843490136,0,1.21565098637477e-05,5,0.379185153375821,0.646234826642725,0.651723718773357,0.701932984654653,0.889557303894732,0.614578811159732,0.572500369433658,0.534240159321481,0.440825819375085,0.78483001904903,0.484684558022338,"RodgersRowland",117.5,19.25,0.992,"in silico"
"16","Buspirone","36505-84-7","hep",1,1,1,"default",NA,0.05,0.0952380952380953,"in vitro","httk","Shibata 2002","diproticBase",2.06,7.62,1.78,1.35,"ChemAxon","no",0.999987843490136,0,1.21565098637477e-05,5,0.147454046462111,0.271110638249547,0.209930069440355,0.353794518378011,0.396430764216662,0.299750730781465,0.237065994343423,0.37947939580841,0.179874250144136,0.516107203757013,0.229761612601803,"RodgersRowland",117.5,9.885,0.928,"in silico"
