compound,CAS,Clint,unit.Clint,method.Clint,reference.Clint,original.reference.Clint,unit.conc.enzymes.Clint,conc.enzymes.Clint,Culture.condition,Culture.material,Culture.medium,Hepatocytes,HEPES.added,Incubation.volume..mL.,L.glutamine.Glutamax.added,Medium.movement,Other.constituents.added.,Sampling,Serum.albumin.added,Source,Species,Use.CO2.incubator,scaling.factor,ionization,pKa1,pKa2,logP,logD,method.phys.chem,quat.nitrogen,frac.unionized,frac.ionized.acid,frac.ionized.base,type,Kpad,Kpbo,Kpbr,Kpgu,Kphe,Kpki,Kpli,Kplu,Kpmu,Kpsk,Kpsp,method.partition,Fuinc,method.Fuinc,method.KaFa,Ka,Fa,Papp,method.Fup,Fup
Caffeine,58-08-2,0.2,ul/min/10^6 cells,hep,Louisse 2020,Chao.et.al..2009_1,10^6 cell/ml,0.1,plated,96-well plate,non-defined commercial medium,primary,no,0.1,no,shaking,no,medium,no,cryopreserved,human,yes,117.5,monoproticBase,-1.16,NA,-0.55,-0.55,ChemAxon,no,0.999999997,0,2.75E-09,3,0.163495116,0.393894128,0.705196004,0.65671609,0.679290281,0.655635469,0.6339938,0.662425388,0.638564083,0.607976298,0.671502669,RodgersRowland,0.996,in silico,WFSR,3.513306459,0.998956183,49.274,in vitro,0.594118
Caffeine,58-08-2,0.2,ul/min/10^6 cells,hep,Louisse 2020,Chao.et.al..2009_1,10^6 cell/ml,0.1,plated,96-well plate,non-defined commercial medium,primary,no,0.1,no,shaking,no,medium,no,cryopreserved,human,yes,117.5,monoproticBase,-1.16,NA,-0.55,-0.55,ChemAxon,no,0.999999997,0,2.75E-09,3,0.163495116,0.393894128,0.705196004,0.65671609,0.679290281,0.655635469,0.6339938,0.662425388,0.638564083,0.607976298,0.671502669,RodgersRowland,0.996,in silico,WFSR,3.513306459,0.998956183,49.274,in vitro,0.91
Caffeine,58-08-2,0.2,ul/min/10^6 cells,hep,Louisse 2020,Chao.et.al..2009_1,10^6 cell/ml,0.1,plated,96-well plate,non-defined commercial medium,primary,no,0.1,no,shaking,no,medium,no,cryopreserved,human,yes,117.5,monoproticBase,-1.16,NA,-0.55,-0.55,ChemAxon,no,0.999999997,0,2.75E-09,3,0.163495116,0.393894128,0.705196004,0.65671609,0.679290281,0.655635469,0.6339938,0.662425388,0.638564083,0.607976298,0.671502669,RodgersRowland,0.996,in silico,WFSR,3.513306459,0.998956183,49.274,in vitro,1.4
Caffeine,58-08-2,0.2,ul/min/10^6 cells,hep,Louisse 2020,Chao.et.al..2009_1,10^6 cell/ml,0.1,plated,96-well plate,non-defined commercial medium,primary,no,0.1,no,shaking,no,medium,no,cryopreserved,human,yes,117.5,monoproticBase,-1.16,NA,-0.55,-0.55,ChemAxon,no,0.999999997,0,2.75E-09,3,0.163495116,0.393894128,0.705196004,0.65671609,0.679290281,0.655635469,0.6339938,0.662425388,0.638564083,0.607976298,0.671502669,RodgersRowland,0.996,in silico,10.1021/mp4007858,2.947556799,0.997806812,34.5,in vitro,0.594118
Caffeine,58-08-2,0.2,ul/min/10^6 cells,hep,Louisse 2020,Chao.et.al..2009_1,10^6 cell/ml,0.1,plated,96-well plate,non-defined commercial medium,primary,no,0.1,no,shaking,no,medium,no,cryopreserved,human,yes,117.5,monoproticBase,-1.16,NA,-0.55,-0.55,ChemAxon,no,0.999999997,0,2.75E-09,3,0.163495116,0.393894128,0.705196004,0.65671609,0.679290281,0.655635469,0.6339938,0.662425388,0.638564083,0.607976298,0.671502669,RodgersRowland,0.996,in silico,10.1021/mp4007858,2.947556799,0.997806812,34.5,in vitro,0.91
Caffeine,58-08-2,0.2,ul/min/10^6 cells,hep,Louisse 2020,Chao.et.al..2009_1,10^6 cell/ml,0.1,plated,96-well plate,non-defined commercial medium,primary,no,0.1,no,shaking,no,medium,no,cryopreserved,human,yes,117.5,monoproticBase,-1.16,NA,-0.55,-0.55,ChemAxon,no,0.999999997,0,2.75E-09,3,0.163495116,0.393894128,0.705196004,0.65671609,0.679290281,0.655635469,0.6339938,0.662425388,0.638564083,0.607976298,0.671502669,RodgersRowland,0.996,in silico,10.1021/mp4007858,2.947556799,0.997806812,34.5,in vitro,1.4
Caffeine,58-08-2,0.2,ul/min/10^6 cells,hep,Louisse 2020,Chao.et.al..2009_1,10^6 cell/ml,0.1,plated,96-well plate,non-defined commercial medium,primary,no,0.1,no,shaking,no,medium,no,cryopreserved,human,yes,117.5,monoproticBase,-1.16,NA,-0.55,-0.55,ChemAxon,no,0.999999997,0,2.75E-09,3,0.163495116,0.393894128,0.705196004,0.65671609,0.679290281,0.655635469,0.6339938,0.662425388,0.638564083,0.607976298,0.671502669,RodgersRowland,0.996,in silico,10.1021/mp4007858,2.787356893,0.99725236,30.8,in vitro,0.594118
Caffeine,58-08-2,0.2,ul/min/10^6 cells,hep,Louisse 2020,Chao.et.al..2009_1,10^6 cell/ml,0.1,plated,96-well plate,non-defined commercial medium,primary,no,0.1,no,shaking,no,medium,no,cryopreserved,human,yes,117.5,monoproticBase,-1.16,NA,-0.55,-0.55,ChemAxon,no,0.999999997,0,2.75E-09,3,0.163495116,0.393894128,0.705196004,0.65671609,0.679290281,0.655635469,0.6339938,0.662425388,0.638564083,0.607976298,0.671502669,RodgersRowland,0.996,in silico,10.1021/mp4007858,2.787356893,0.99725236,30.8,in vitro,0.91
Caffeine,58-08-2,0.2,ul/min/10^6 cells,hep,Louisse 2020,Chao.et.al..2009_1,10^6 cell/ml,0.1,plated,96-well plate,non-defined commercial medium,primary,no,0.1,no,shaking,no,medium,no,cryopreserved,human,yes,117.5,monoproticBase,-1.16,NA,-0.55,-0.55,ChemAxon,no,0.999999997,0,2.75E-09,3,0.163495116,0.393894128,0.705196004,0.65671609,0.679290281,0.655635469,0.6339938,0.662425388,0.638564083,0.607976298,0.671502669,RodgersRowland,0.996,in silico,10.1021/mp4007858,2.787356893,0.99725236,30.8,in vitro,1.4
Caffeine,58-08-2,0.2,ul/min/10^6 cells,hep,Louisse 2020,Chao.et.al..2009_1,10^6 cell/ml,0.1,plated,96-well plate,non-defined commercial medium,primary,no,0.1,no,shaking,no,medium,no,cryopreserved,human,yes,117.5,monoproticBase,-1.16,NA,-0.55,-0.55,ChemAxon,no,0.999999997,0,2.75E-09,3,0.163495116,0.393894128,0.705196004,0.65671609,0.679290281,0.655635469,0.6339938,0.662425388,0.638564083,0.607976298,0.671502669,RodgersRowland,0.996,in silico,10.1177/1087057107308892,2.947556799,0.997806812,34.5,in vitro,0.594118
