"","compound","CAS","Clint","unit.Clint","method.Clint","reference.Clint","original.reference.Clint","unit.conc.enzymes.Clint","X","conc.enzymes.Clint","Culture.condition","Culture.material","Culture.medium","Hepatocytes","HEPES.added","Incubation.volume..mL.","L.glutamine.Glutamax.added","Medium.movement","Other.constituents.added.","Sampling","Serum.albumin.added","Source","Species","Use.CO2.incubator","scaling.factor","method.phys.chem.Fup","Fup","Fut","method.Fup","reference.Fup","original.reference.Fup","ionization","pKa1","pKa2","logP","logD","method.phys.chem","quat.nitrogen","frac.unionized","frac.ionized.acid","frac.ionized.base","type","Kpad","Kpbo","Kpbr","Kpgu","Kphe","Kpki","Kpli","Kplu","Kpmu","Kpsk","Kpsp","method.partition","Fuinc","method.Fuinc"
"1","2,5-Di-tert-butylbenzene-1,4-diol","88-58-4",8.91,"ul/min/10^6 cells","hep","Black.et.al...2021_1","Black.et.al...2021_1","10^6 cell/ml",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.5,"httk",0.025604728076096,0.0499309868122921,"in silico","LobellSivarajah","LobellSivarajah","diproticAcid",10.36,12.18,4.59,4.59,"httk","no",0.99890470459431,0.00109529540568987,0,4,121.744327145108,74.122498132573,61.3059630700687,52.1797950273637,90.9373398352169,40.7965330154932,40.2685684219736,4.67661850693267,15.7011721827643,50.824876418393,17.0255297409532,"RodgersRowland",NA,"in silico"
"2","2,5-Di-tert-butylbenzene-1,4-diol","88-58-4",2.75,"ul/min/10^6 cells","hep","Black.et.al...2021_1","Black.et.al...2021_1","10^6 cell/ml",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.5,"httk",0.025604728076096,0.0499309868122921,"in silico","LobellSivarajah","LobellSivarajah","diproticAcid",10.36,12.18,4.59,4.59,"httk","no",0.99890470459431,0.00109529540568987,0,4,121.744327145108,74.122498132573,61.3059630700687,52.1797950273637,90.9373398352169,40.7965330154932,40.2685684219736,4.67661850693267,15.7011721827643,50.824876418393,17.0255297409532,"RodgersRowland",NA,"in silico"
"3","2,5-Di-tert-butylbenzene-1,4-diol","88-58-4",9.86,"ul/min/10^6 cells","hep","Black.et.al...2021_1","Wambaugh.et.al...2019_1","10^6 cell/ml",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.5,"httk",0.025604728076096,0.0499309868122921,"in silico","LobellSivarajah","LobellSivarajah","diproticAcid",10.36,12.18,4.59,4.59,"httk","no",0.99890470459431,0.00109529540568987,0,4,121.744327145108,74.122498132573,61.3059630700687,52.1797950273637,90.9373398352169,40.7965330154932,40.2685684219736,4.67661850693267,15.7011721827643,50.824876418393,17.0255297409532,"RodgersRowland",NA,"in silico"
"4","2,5-Di-tert-butylbenzene-1,4-diol","88-58-4",117,"ul/min/10^6 cells","hep","Black.et.al...2021_1","Wambaugh.et.al...2019_1","10^6 cell/ml",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.5,"httk",0.025604728076096,0.0499309868122921,"in silico","LobellSivarajah","LobellSivarajah","diproticAcid",10.36,12.18,4.59,4.59,"httk","no",0.99890470459431,0.00109529540568987,0,4,121.744327145108,74.122498132573,61.3059630700687,52.1797950273637,90.9373398352169,40.7965330154932,40.2685684219736,4.67661850693267,15.7011721827643,50.824876418393,17.0255297409532,"RodgersRowland",NA,"in silico"
"5","4-Nitroaniline","100-01-6",2.57,"ul/min/10^6 cells","hep","Black.et.al...2021_1","Black.et.al...2021_1","10^6 cell/ml",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.5,"ChemAxon",0.495409925566682,0.662574076976181,"in silico","LobellSivarajah","LobellSivarajah","monoproticBase",2.13,NA,1.084,1.08,"ChemAxon","no",0.999994629710876,0,5.37028912350745e-06,3,0.38252224762982,0.669225122837515,0.776821404365904,0.69443634336123,0.936425399625104,0.62662896628366,0.610775478832907,0.41748820625755,0.468496764315297,0.65775515505712,0.495698729717714,"RodgersRowland",NA,"in silico"
"6","4-Nitroaniline","100-01-6",3.68,"ul/min/10^6 cells","hep","Black.et.al...2021_1","Black.et.al...2021_1","10^6 cell/ml",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.5,"ChemAxon",0.495409925566682,0.662574076976181,"in silico","LobellSivarajah","LobellSivarajah","monoproticBase",2.13,NA,1.084,1.08,"ChemAxon","no",0.999994629710876,0,5.37028912350745e-06,3,0.38252224762982,0.669225122837515,0.776821404365904,0.69443634336123,0.936425399625104,0.62662896628366,0.610775478832907,0.41748820625755,0.468496764315297,0.65775515505712,0.495698729717714,"RodgersRowland",NA,"in silico"
"7","4-Nitroaniline","100-01-6",8.62,"ul/min/10^6 cells","hep","Black.et.al...2021_1","Wambaugh.et.al...2019_1","10^6 cell/ml",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.5,"ChemAxon",0.495409925566682,0.662574076976181,"in silico","LobellSivarajah","LobellSivarajah","monoproticBase",2.13,NA,1.084,1.08,"ChemAxon","no",0.999994629710876,0,5.37028912350745e-06,3,0.38252224762982,0.669225122837515,0.776821404365904,0.69443634336123,0.936425399625104,0.62662896628366,0.610775478832907,0.41748820625755,0.468496764315297,0.65775515505712,0.495698729717714,"RodgersRowland",NA,"in silico"
"8","4-Nitroaniline","100-01-6",23.6,"ul/min/10^6 cells","hep","Black.et.al...2021_1","Wambaugh.et.al...2019_1","10^6 cell/ml",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.5,"ChemAxon",0.495409925566682,0.662574076976181,"in silico","LobellSivarajah","LobellSivarajah","monoproticBase",2.13,NA,1.084,1.08,"ChemAxon","no",0.999994629710876,0,5.37028912350745e-06,3,0.38252224762982,0.669225122837515,0.776821404365904,0.69443634336123,0.936425399625104,0.62662896628366,0.610775478832907,0.41748820625755,0.468496764315297,0.65775515505712,0.495698729717714,"RodgersRowland",NA,"in silico"
"9","Antipyrine","60-80-0",0.1,"ul/min/10^6 cells","hep","Louisse 2020","Chao.et.al..2009_1","10^6 cell/ml",55,0.1,"plated","96-well plate","non-defined commercial medium","primary","no",0.1,"no","shaking","no","medium","no","cryopreserved","human","yes",117.5,"ChemAxon",0.46038090897104,0.630494285624997,"in silico","LobellSivarajah","LobellSivarajah","monoproticBase",0.49,NA,1.22,1.22,"ChemAxon","no",0.999999876973138,0,1.23026862031139e-07,3,0.468343729140795,0.774904064789725,0.848412763506334,0.753015353883486,1.05790676230525,0.666502080207662,0.650680718641096,0.397579802179423,0.467742861218671,0.716134065971391,0.495753588849626,"RodgersRowland",0.993,"in silico"
"10","Antipyrine","60-80-0",0.2,"ul/min/10^6 cells","hep","Louisse 2020","Chao.et.al..2009_2","10^6 cell/ml",73,0.1,"plated","96-well plate","non-defined commercial medium","primary","no",0.1,"no","shaking","no","medium","yes","cryopreserved","human","yes",117.5,"ChemAxon",0.46038090897104,0.630494285624997,"in silico","LobellSivarajah","LobellSivarajah","monoproticBase",0.49,NA,1.22,1.22,"ChemAxon","no",0.999999876973138,0,1.23026862031139e-07,3,0.468343729140795,0.774904064789725,0.848412763506334,0.753015353883486,1.05790676230525,0.666502080207662,0.650680718641096,0.397579802179423,0.467742861218671,0.716134065971391,0.495753588849626,"RodgersRowland",0.993,"in silico"
