compound,CAS,Fup,method.Fup,reference.Fup,original.reference.Fup
Antipyrine,60-80-0,0.97,in vitro,httk,Shibata 2002
Bosentan,147536-97-8,0.02,in vitro,httk,Ito 2004
Bosentan,147536-97-8,0.035,in vitro,literature,Impact of Plasma Protein Binding in Drug Clearance Prediction: A Database Analysis of Published Studies and Implications for In Vitro-In Vivo Extrapolation
Bosentan,147536-97-8,0.00814,in vitro,literature,Extrapolation of In Vivo Hepatic Clearance from In Vitro Uptake Clearance by Suspended Human Hepatocytes for Anionic Drugs with  High Binding to Human Albumin: Improvement of In Vitro-to-In Vivo Extrapolation by Considering the “Albumin-Mediated” Hepatic Uptake Mechanism on the Basis of the “Facilitated-Dissociation Model” 
Bufuralol,54340-62-4,0.176,in vitro,httk,Sternbeck 2012
Buspirone,36505-84-7,0.05,in vitro,httk,Shibata 2002
Buspirone,36505-84-7,0.333,in vitro,literature,Control and Measurement of Plasma pH in Equilibrium Dialysis: Influence on Drug Plasma Protein Binding 
Buspirone,36505-84-7,0.214,in vitro,literature,Control and Measurement of Plasma pH in Equilibrium Dialysis: Influence on Drug Plasma Protein Binding 
Caffeine,58-08-2,0.594118,in vitro,httk,Wetmore 2015
Caffeine,58-08-2,0.91,in vitro,literature,https://www.sciencedirect.com/science/article/pii/S1056871910000626?casa_token=QvwtLwyxUeQAAAAA:HFas8YBwovBT9a3R8xpjAP3bEJ2srOE19nEC6KlKwNldgT9xMGHimkHjJ4zBsQyZEjQO3JXnkBE
Caffeine,58-08-2,1.4,in vitro,literature,JRC database
Carvedilol,72956-09-3,0.02,in vitro,httk,Obach 2008
Chlorpromazine,50-53-3,0.05,in vitro,httk,Obach 1999
Chlorpromazine,50-53-3,0.029,in vitro,literature,https://www-sciencedirect-com.ezproxy.library.wur.nl/science/article/pii/S0022354920305104
Clozapine,5786-21-0,0.05,in vitro,httk,Obach 1999
Clozapine,5786-21-0,0.042,in vitro,literature,Control and Measurement of Plasma pH in Equilibrium Dialysis: Influence on Drug Plasma Protein Binding 
Clozapine,5786-21-0,0.101,in vitro,literature,Control and Measurement of Plasma pH in Equilibrium Dialysis: Influence on Drug Plasma Protein Binding 
Clozapine,5786-21-0,0.092,in vitro,literature,
Clozapine,5786-21-0,0.1301,in vitro,literature,
Desipramine,50-47-5,0.18,in vitro,httk,Obach 1999
Dextromethorphan,125-71-3,0.45,in vitro,httk,Ito 2004
Dextromethorphan,125-71-3,0.463265219,in vitro,this work,this work
Dextromethorphan,125-71-3,0.278933799,in vitro,this work,this work
